NAME,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10704,63512,63477,67091,69309,70272,73956,74908,73165,75182,87397,88341
10705,44564,45352,47358,46848,45446,46013,49110,48540,52232,58683,61078
10706,127241,121932,125960,128056,127632,119841,132981,144414,142500,148375,171615
10707,97996,96691,94897,89821,94427,81818,83445,101419,114386,113167,119530
10708,96580,95891,95815,96490,98014,105738,106808,106875,115435,108142,113298
10709,94200,94844,92098,89712,95625,100000,113643,117833,128365,135674,142536
10710,74163,72410,76526,81082,82324,86132,85417,87760,88228,85088,89043
10801,54056,55844,54504,58280,56101,57103,58736,64769,64043,68090,73632
10803,138793,145000,140000,140977,151607,150688,146833,152932,157143,168071,184821
10804,156636,155489,157950,162674,161445,166000,179527,191773,182396,191394,213892
10805,55420,54323,55639,55464,57672,62556,66006,71439,72138,72856,75336
10901,84542,87665,85147,86215,87444,93389,94465,95744,96460,100781,102470
10910,-,-,-,-,-,-,-,-,-,-,-
10911,-,-,-,-,-,-,-,-,-,-,-
10913,119049,121833,122857,124766,120929,123787,127563,140375,151279,171464,171146
10914,170516,173024,123667,131250,129632,126389,131417,133047,98661,-,83469
10915,43107,19836,-,-,-,-,-,-,-,-,-
10916,101563,92194,103583,103750,105104,107938,104238,101793,104583,100556,99792
10917,98056,91186,72216,95344,96077,97778,99950,109750,111677,119018,117917
10918,86104,79899,87114,84323,91471,98314,102730,103597,108073,111163,120288
10919,84808,90368,107500,97742,97703,98017,100341,102738,105321,79642,94355
10920,95300,93839,94526,92193,103344,101250,107036,115745,120378,123848,132241
10921,74226,76322,70975,75667,86071,85182,86429,89239,91875,95707,99722
10922,82000,85197,87566,89375,96875,99732,98333,86607,79832,81375,88750
10923,86603,87761,88047,89420,83734,79317,82813,80149,77303,91087,91310
10924,86801,86310,84661,86359,90184,93947,95468,101801,105000,97111,98462
10925,72392,69984,66888,70927,68125,77823,84079,90709,78893,93659,95625
10926,74661,72469,75906,65742,66394,68011,77813,80625,85288,82019,81726
10927,50498,54926,55556,56714,56061,58750,56862,61336,63191,66214,69679
10928,66164,68224,66493,70278,77969,79602,74423,82500,84267,74012,83571
10930,113214,116414,125356,128500,129477,129083,131832,131111,136303,121310,130577
10931,78125,77361,78750,78333,78162,63438,68819,70833,69844,72574,79091
10932,-,150776,-,-,-,-,-,-,-,-,-
10933,53672,96419,95685,91830,97845,98086,95320,94808,95673,102955,-
10940,60280,60365,61146,58803,57007,56758,60094,61367,62486,67920,70407
10941,72991,72052,66111,68367,66141,65562,66812,73056,76676,79321,89118
10950,76313,79009,74681,72371,70645,66959,72573,76637,76827,75547,77362
10952,57901,54275,53344,54032,55595,55481,56236,56594,59304,56597,61272
10953,19375,81042,80714,122788,123600,127260,-,-,-,-,-
10954,86829,93141,91302,90781,90743,93816,100472,105698,107077,102763,109932
10956,116213,119022,119764,118181,119899,121421,124606,133297,142912,148341,156555
10958,84293,97500,105845,106211,103203,87222,102396,100714,104150,108831,122591
10960,71160,76016,78750,80795,80141,80742,83977,84983,87479,104972,108327
10962,105625,101786,109786,103672,94303,94464,105000,110833,112875,125288,144167
10963,74331,66250,74583,69967,74821,71324,73438,74306,76118,72534,76622
10964,65703,99318,94750,109844,83257,96979,121528,124844,175234,138542,145673
10965,95689,100324,94271,99741,94352,98996,100962,110650,111250,114595,121359
10968,93906,87539,91343,97909,91581,97174,102847,115208,123580,125833,114526
10969,99208,72768,79643,66875,92500,67292,83333,102688,107093,122109,129698
10970,79265,73438,74397,83945,82856,84980,88919,91174,87895,92708,106375
10973,65883,70833,83636,93750,91250,93611,85398,95156,99375,93641,99250
10974,87807,91750,87241,86495,86006,89107,88558,95446,103942,88135,92639
10975,71641,64243,58077,77500,(X),-,-,-,75625,-,81250
10976,38003,40893,40675,40281,46750,60972,59896,63875,59864,62417,65000
10977,63423,62813,60549,60941,56598,56724,55277,55145,54759,59253,67799
10979,61654,63036,68352,70875,68125,70515,71292,-,-,-,-
10980,102937,95648,94709,96168,95214,94159,98516,105437,110625,110347,117883
10983,99985,120000,126875,128520,113036,110929,112831,110250,118708,132400,137308
10984,133281,124750,112016,123250,120341,112188,122098,129315,127344,138188,121607
10985,-,220577,-,-,-,-,173710,176143,181211,181116,-
10986,99815,100551,106932,114306,119671,119063,126959,150625,176250,180875,186726
10987,82604,96063,100369,98942,97279,103795,105972,105069,129167,130167,174375
10988,78393,74167,70547,73036,79375,74875,81154,80972,92031,90179,78750
10989,96065,98904,100982,103998,104285,105569,107690,117368,113135,115000,117038
10990,91805,91011,84110,86241,88452,87775,94091,101357,103642,109684,117168
10992,84196,90617,91083,82258,84830,94167,95107,97000,105245,97862,105765
10993,54798,61818,67750,68611,64627,53750,56154,50559,47383,48400,53688
10994,132724,126386,129519,126477,130060,136250,145313,148342,164464,154970,156500
10996,97361,100000,98555,96458,100385,107031,100234,103417,115217,115587,121219
10998,92500,97679,101121,99688,98036,86946,88548,90567,89135,89871,106250
11001,99974,101537,101634,100625,99691,102306,104890,108438,113300,124949,132344
11003,83081,83754,85672,88537,89831,91817,94746,97338,104349,103548,107088
11004,79102,78766,81709,82054,85968,91226,93315,92657,95436,97845,100174
11005,61912,70036,64300,61587,58894,63368,51801,62993,55313,75742,60800
11010,89369,87130,87644,95162,97741,98517,102023,108952,111135,113148,123401
11020,136379,126143,128309,126652,123438,123333,118906,135938,158295,160909,168319
11021,98063,97757,93258,90181,90993,89556,93598,99170,102596,106978,105606
11023,98125,105427,106729,106639,106699,104511,111607,116250,130061,108906,131458
11024,97917,89964,97383,93950,94243,96620,101824,106250,128450,124837,129479
11030,179101,174015,172266,162500,161786,164159,182000,187159,200703,210380,232400
11040,97798,99793,101434,105266,106654,111035,118457,124378,129344,132767,140368
11042,-,-,-,-,-,-,-,-,-,-,-
11050,105118,109258,105828,106682,104261,112461,112567,122845,133882,134473,138559
11096,54803,54611,48538,55222,48449,45205,53875,56917,60675,59943,69021
11101,41799,43909,47142,48509,48013,51964,57866,65392,75581,89525,98920
11102,47249,48548,49924,50160,51123,56674,60436,64067,71382,81462,95478
11103,52968,55844,55129,57733,59243,62775,65229,71437,76234,81677,82597
11104,54152,54188,56059,56578,55294,57155,63122,61269,67751,75772,81142
11105,56935,57576,57525,60247,61646,62841,68050,73959,79883,86516,93200
11106,47580,49371,48720,52399,54109,56442,60725,63703,68530,71865,71972
11109,132875,126225,125871,128693,129505,133070,137452,148590,160625,169425,160898
11201,91764,93693,95369,98775,101150,109472,116446,124996,129248,139697,148282
11203,48797,49002,48400,46630,45936,46971,48140,51277,54457,57707,61414
11204,44312,45112,45472,45593,46560,47135,47341,49785,53093,54984,58850
11205,42760,42434,44688,47050,47575,47437,51574,56708,58872,62952,68607
11206,28114,28584,28559,30686,30779,31549,34122,36404,39753,43065,49013
11207,33127,32642,32945,33816,34252,35849,35809,37243,39382,42276,45616
11208,35437,35665,35079,34527,35698,37640,39588,40733,42403,45946,49679
11209,57082,57713,58261,59934,62761,65181,69578,72314,77917,79524,84145
11210,52895,54664,55429,56052,57565,59520,62202,65900,69385,70776,77378
11211,42610,44173,46848,50943,54406,59190,66113,71225,81228,90871,89091
11212,27278,27901,28348,28146,28207,28495,25677,26239,26521,29385,30733
11213,34046,35344,34794,34804,34701,37556,40604,41710,44831,48318,48896
11214,39822,41246,43398,45838,49828,52119,53151,54041,56911,57639,58487
11215,88450,93184,95654,99040,103716,108178,116893,123583,132091,144330,156930
11216,40174,41688,43996,45566,47107,52239,56025,61121,67795,77343,84661
11217,74518,78591,81862,85199,87091,94970,99085,107362,119375,122598,133269
11218,50938,53251,52445,54441,56120,60821,64152,69415,73470,78249,81857
11219,34804,34590,34316,35083,35974,36573,37665,39295,40683,41907,44450
11220,37822,38267,37580,38052,38893,40576,42559,47079,50191,55119,57046
11221,36577,37608,39178,39785,40635,43361,47170,50153,56900,65548,66923
11222,60610,62634,63739,66610,72409,73391,78287,85111,93488,96435,110385
11223,40626,40960,41328,40873,43019,44647,46310,50108,54023,56908,57281
11224,31822,31415,27481,27011,28006,31371,31630,33131,32549,35776,37241
11225,40295,40481,42922,43543,44911,48597,51926,55862,59820,65200,68542
11226,39481,40146,40734,42182,43399,45031,48495,52052,58257,60896,66173
11228,59624,61213,61893,62821,64250,63641,63697,67911,72902,76278,77189
11229,48683,49629,51725,51985,52168,55187,59287,60873,64631,66332,69076
11230,43147,42568,42170,41820,41068,43344,46013,49541,53070,57770,61017
11231,71895,71999,78174,83383,83310,84223,93575,100213,99643,108525,121638
11232,38353,40565,43595,44583,44474,47785,53908,56661,61200,74072,77031
11233,34633,35620,34492,34432,33745,35686,36009,40449,44905,48278,52380
11234,67776,68177,68431,67713,71115,75362,79490,81399,85807,84116,86185
11235,42492,42298,41639,42257,42818,45578,49653,52538,54646,56308,58669
11236,61794,60758,61061,60135,58705,60885,63700,67669,70793,74015,73562
11237,37648,37636,40372,42496,44950,46351,51269,51413,53303,57375,65908
11238,61950,64981,65315,69491,70873,75757,79013,85407,91846,100568,114427
11239,23941,24640,26275,27886,26186,24610,26002,27104,29172,29571,33736
11354,48771,48236,46566,46650,44741,43660,44512,42500,40786,45838,52273
11355,44587,43248,41884,40539,39168,38451,38370,39207,42507,45527,46963
11356,60981,59289,58465,59084,57194,57849,59712,60493,61859,64324,73318
11357,75922,76014,71978,73189,73750,74255,81053,83951,85818,82858,88580
11358,68079,67924,65722,67277,65258,66173,65932,66129,68848,70777,74854
11359,-,-,-,-,-,-,-,-,-,-,-
11360,79553,76438,76183,79513,80235,82982,84476,86174,83063,84356,92851
11361,72599,72837,75335,77219,79158,81846,82020,85887,87892,86545,93734
11362,83566,86051,82332,82058,86758,82827,80828,89185,93333,92212,100528
