NAME,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10573,1,1,1,1,1,1,1,1,1,1,1
10576,1,1,1,1,1,1,1,1,1,1,1
10577,1,1,1,1,1,1,1,1,1,1,1
10578,1,1,1,1,1,1,1,1,1,1,1
10579,1,1,1,1,1,1,1,1,1,1,1
10580,1,1,1,1,1,1,1,1,1,1,1
10583,1,1,1,1,1,1,1,1,1,1,1
10588,1,1,1,1,1,1,1,1,1,1,1
10589,1,1,1,1,1,1,1,1,1,1,1
10590,1,1,1,1,1,1,1,1,1,1,1
10591,1,1,1,1,1,1,1,1,1,1,1
10594,1,1,1,1,1,1,1,1,1,1,1
10595,1,1,1,1,1,1,1,1,1,1,1
10596,1,1,0,1,0,1,1,1,1,1,1
10597,1,1,1,1,1,1,1,1,1,1,1
10598,1,1,1,1,1,1,1,1,1,1,1
10601,1,1,1,1,1,1,1,1,1,1,1
10603,1,1,1,1,1,1,1,1,1,1,1
10604,1,1,1,1,1,1,1,1,1,1,1
10605,1,1,1,1,1,1,1,1,1,1,1
10606,1,1,1,1,1,1,1,1,1,1,1
10607,1,1,1,1,1,1,1,1,1,1,1
10701,0,0,0,0,0,0,0,0,0,0,0
10703,1,1,1,1,1,1,0,1,0,1,1
10704,1,1,1,1,1,1,1,1,1,1,1
10705,0,0,0,0,0,0,0,0,0,0,0
10706,1,1,1,1,1,1,1,1,1,1,1
10707,1,1,1,1,1,1,1,1,1,1,1
10708,1,1,1,1,1,1,1,1,1,1,1
10709,1,1,1,1,1,1,1,1,1,1,1
10710,1,1,1,1,1,1,1,1,1,1,1
10801,1,1,1,1,1,0,0,1,0,1,1
10803,1,1,1,1,1,1,1,1,1,1,1
10804,1,1,1,1,1,1,1,1,1,1,1
10805,1,1,1,1,1,1,1,1,1,1,1
10901,1,1,1,1,1,1,1,1,1,1,1
10910,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10911,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10913,1,1,1,1,1,1,1,1,1,1,1
10914,1,1,1,1,1,1,1,1,1,-1,1
10915,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
10916,1,1,1,1,1,1,1,1,1,1,1
10917,1,1,1,1,1,1,1,1,1,1,1
10918,1,1,1,1,1,1,1,1,1,1,1
10919,1,1,1,1,1,1,1,1,1,1,1
10920,1,1,1,1,1,1,1,1,1,1,1
10921,1,1,1,1,1,1,1,1,1,1,1
10922,1,1,1,1,1,1,1,1,1,1,1
10923,1,1,1,1,1,1,1,1,1,1,1
10924,1,1,1,1,1,1,1,1,1,1,1
10925,1,1,1,1,1,1,1,1,1,1,1
10926,1,1,1,1,1,1,1,1,1,1,1
10927,1,1,1,1,1,0,0,0,0,0,1
10928,1,1,1,1,1,1,1,1,1,1,1
10930,1,1,1,1,1,1,1,1,1,1,1
10931,1,1,1,1,1,1,1,1,1,1,1
10932,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10933,1,1,1,1,1,1,1,1,1,1,-1
10940,1,1,1,1,1,0,0,0,0,1,1
10941,1,1,1,1,1,1,1,1,1,1,1
10950,1,1,1,1,1,1,1,1,1,1,1
10952,1,1,1,1,0,0,0,0,0,0,0
10953,0,1,1,1,1,1,-1,-1,-1,-1,-1
10954,1,1,1,1,1,1,1,1,1,1,1
10956,1,1,1,1,1,1,1,1,1,1,1
10958,1,1,1,1,1,1,1,1,1,1,1
