,house_number,street,zipcode,boro,latitude,longitude,type_of_violation,status,year_of_violation
716,1231,WHITE PLAINS ROAD,10472,BRONX,40.831445,-73.862052,maintenance code violation,Close,2014
717,2979,MARION AVENUE,10458,BRONX,40.869431,-73.883551,maintenance code violation,Close,2014
718,35-13,109 STREET,11368,QUEENS,40.75522,-73.859095,maintenance code violation,Open,2021
719,35-13,109 STREET,11368,QUEENS,40.75522,-73.859095,maintenance code violation,Open,2021
720,158-03,SANFORD AVENUE,11358,QUEENS,40.76094,-73.807524,maintenance code violation,Close,2013
721,3380,NOSTRAND AVENUE,11229,BROOKLYN,40.601664,-73.942133,maintenance code violation,Close,2014
722,3380,NOSTRAND AVENUE,11229,BROOKLYN,40.601664,-73.942133,maintenance code violation,Close,2014
723,780,LIVONIA AVENUE,11207,BROOKLYN,40.665644,-73.888074,maintenance code violation,Open,2020
724,269,LINDEN STREET,11237,BROOKLYN,40.697737,-73.915157,maintenance code violation,Close,2013
725,269,LINDEN STREET,11237,BROOKLYN,40.697737,-73.915157,maintenance code violation,Open,2013
726,3380,NOSTRAND AVENUE,11229,BROOKLYN,40.601664,-73.942133,maintenance code violation,Close,2014
727,3380,NOSTRAND AVENUE,11229,BROOKLYN,40.601664,-73.942133,maintenance code violation,Close,2014
728,2979,MARION AVENUE,10458,BRONX,40.869431,-73.883551,maintenance code violation,Close,2014
729,2979,MARION AVENUE,10458,BRONX,40.869431,-73.883551,maintenance code violation,Close,2014
730,2979,MARION AVENUE,10458,BRONX,40.869431,-73.883551,maintenance code violation,Close,2014
731,4424,10 AVENUE,11219,BROOKLYN,40.64164,-73.996008,maintenance code violation,Close,2019
732,4424,10 AVENUE,11219,BROOKLYN,40.64164,-73.996008,maintenance code violation,Close,2019
733,4424,10 AVENUE,11219,BROOKLYN,40.64164,-73.996008,maintenance code violation,Close,2019
734,4424,10 AVENUE,11219,BROOKLYN,40.64164,-73.996008,maintenance code violation,Close,2019
735,2979,MARION AVENUE,10458,BRONX,40.869431,-73.883551,maintenance code violation,Close,2014
736,147-38,ASH AVENUE,11355,QUEENS,40.758967,-73.816478,maintenance code violation,Open,2019
737,141-11,78 ROAD,11367,QUEENS,40.718844,-73.819745,maintenance code violation,Open,2021
738,1843,PITKIN AVENUE,11212,BROOKLYN,40.67058,-73.904803,maintenance code violation,Close,2013
739,1231,WHITE PLAINS ROAD,10472,BRONX,40.831445,-73.862052,maintenance code violation,Close,2014
740,1843,PITKIN AVENUE,11212,BROOKLYN,40.67058,-73.904803,maintenance code violation,Close,2013
741,20,SHERMAN AVENUE,10040,MANHATTAN,40.862669,-73.928479,maintenance code violation,Close,2019
742,1580,THIERIOT AVENUE,10460,BRONX,40.840063,-73.866078,maintenance code violation,Close,2018
743,1843,PITKIN AVENUE,11212,BROOKLYN,40.67058,-73.904803,maintenance code violation,Close,2013
744,607,WEST 139 STREET,10031,MANHATTAN,40.822856,-73.953702,maintenance code violation,Close,2019
